Type	Journal Row	Currency	Version	Year	Month	Business Unit	Account Code	Description	Cost Centre	Funder	Project	Amount	Amount Type	Journal Description	Jnl Line Description
Q3 FC input - Core Centres	1	MMK	Q3Forecast	2020	SEP	MMA_Pro	601010	Grant Income	10000	B012	NotAnalysed	-96439970.69	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	2	MMK	Q3Forecast	2020	OCT	MMA_Pro	601010	Grant Income	10000	B012	NotAnalysed	-96032400.74	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	3	MMK	Q3Forecast	2020	NOV	MMA_Pro	601010	Grant Income	10000	B012	NotAnalysed	-101970539.93	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	4	MMK	Q3Forecast	2020	DEC	MMA_Pro	601010	Grant Income	10000	B012	NotAnalysed	-95839247.05	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	5	MMK	Q3Forecast	2020	SEP	MMA_Pro	617300	Diaphragm Insertion	10000	Y001	NotAnalysed	-42754463.05	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	6	MMK	Q3Forecast	2020	OCT	MMA_Pro	617300	Diaphragm Insertion	10000	Y001	NotAnalysed	-28141584.07	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	7	MMK	Q3Forecast	2020	NOV	MMA_Pro	617300	Diaphragm Insertion	10000	Y001	NotAnalysed	-25140935.98	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	8	MMK	Q3Forecast	2020	DEC	MMA_Pro	617300	Diaphragm Insertion	10000	Y001	NotAnalysed	-30977203.47	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	9	MMK	Q3Forecast	2020	SEP	MMA_Pro	792400	Cost Saving (Budget)	10000	B012	NotAnalysed	96439970.69	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	10	MMK	Q3Forecast	2020	OCT	MMA_Pro	792400	Cost Saving (Budget)	10000	B012	NotAnalysed	96032400.74	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	11	MMK	Q3Forecast	2020	NOV	MMA_Pro	792400	Cost Saving (Budget)	10000	B012	NotAnalysed	101970539.93	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	12	MMK	Q3Forecast	2020	DEC	MMA_Pro	792400	Cost Saving (Budget)	10000	B012	NotAnalysed	95839247.05	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	13	MMK	Q3Forecast	2020	SEP	MMA_Pro	792400	Cost Saving (Budget)	10000	Y001	NotAnalysed	40106475.99	Amount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	14	MMK	Q3Forecast	2020	OCT	MMA_Pro	792400	Cost Saving (Budget)	10000	Y001	NotAnalysed	33470209.64	Amount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	15	MMK	Q3Forecast	2020	NOV	MMA_Pro	792400	Cost Saving (Budget)	10000	Y001	NotAnalysed	33185360.17	Amount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	16	MMK	Q3Forecast	2020	DEC	MMA_Pro	792400	Cost Saving (Budget)	10000	Y001	NotAnalysed	37998865.40	Amount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	17	MMK	Q3Forecast	2020	SEP	MMA_Pro	W82300	Number of Other Personnel	10000	NotAnalysed	NotAnalysed	132.00	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	18	MMK	Q3Forecast	2020	OCT	MMA_Pro	W82300	Number of Other Personnel	10000	NotAnalysed	NotAnalysed	132.00	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	19	MMK	Q3Forecast	2020	NOV	MMA_Pro	W82300	Number of Other Personnel	10000	NotAnalysed	NotAnalysed	132.00	MemoAmount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	20	MMK	Q3Forecast	2020	DEC	MMA_Pro	W82300	Number of Other Personnel	10000	NotAnalysed	NotAnalysed	132.00	MemoAmount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	21	MMK	Q3Forecast	2020	SEP	MMA_Pro	617300	Diaphragm Insertion	10000	NotAnalysed	NotAnalysed	-5829.00	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	22	MMK	Q3Forecast	2020	OCT	MMA_Pro	617300	Diaphragm Insertion	10000	NotAnalysed	NotAnalysed	-3821.00	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	23	MMK	Q3Forecast	2020	NOV	MMA_Pro	617300	Diaphragm Insertion	10000	NotAnalysed	NotAnalysed	-3488.00	MemoAmount	Q3 FC	Q3 FC NOV
Q3 FC input - Core Centres	24	MMK	Q3Forecast	2020	DEC	MMA_Pro	617300	Diaphragm Insertion	10000	NotAnalysed	NotAnalysed	-4235.00	MemoAmount	Q3 FC	Q3 FC DEC
Q3 FC input - Core Centres	25	MMK	Q3Forecast	2020	SEP	MMA_Pro	610010	MSP/PAC	10000	NotAnalysed	NotAnalysed	-54.00	MemoAmount	Q3 FC	Q3 FC SEP
Q3 FC input - Core Centres	26	MMK	Q3Forecast	2020	OCT	MMA_Pro	610010	MSP/PAC	10000	NotAnalysed	NotAnalysed	-31.00	MemoAmount	Q3 FC	Q3 FC OCT
Q3 FC input - Core Centres	27	MMK	Q3Forecast	2020	NOV	MMA_Pro	610010	MSP/PAC	10000	NotAnalysed	NotAnalysed	-29.00	MemoAmount	Q3 FC	Q3 FC NOV
